layer,bit_position,original_bit,flipped_bit,original_param,flipped_param,original_output,flipped_output,target_output
f6,7,0,1,39,-89,7,7,7
c1,3,0,1,-60,-52,2,2,2
f7,5,0,1,11,43,1,1,1
c1,4,1,0,-3,-19,0,0,0
f6,3,1,0,-2,-10,4,4,4
f6,7,0,1,2,-126,1,1,1
f7,4,0,1,11,27,4,4,4
f6,6,1,0,-16,-80,9,9,9
c1,1,0,1,-111,-109,5,5,5
f7,1,0,1,-4,-2,9,9,9
f6,4,1,0,48,32,0,0,0
f7,1,1,0,11,9,6,6,6
c3,5,0,1,18,50,9,9,9
f5,2,1,0,-11,-15,0,0,0
c1,5,0,1,22,54,1,1,1
c3,1,1,0,-82,-84,5,5,5
f5,6,1,0,107,43,9,9,9
c1,0,0,1,22,23,7,7,7
f5,3,1,0,-7,-15,5,5,3
f6,2,1,0,15,11,4,4,4
c3,0,0,1,8,9,9,9,9
c1,3,1,0,26,18,6,6,6
c1,3,1,0,-17,-25,6,6,6
f6,6,1,0,-1,-65,5,5,5
c1,3,1,0,26,18,4,4,4
c1,0,1,0,-27,-28,0,0,0
f6,5,1,0,-10,-42,7,7,7
f5,6,1,0,-16,-80,4,4,4
f7,6,0,1,5,69,0,0,0
c1,5,1,0,-27,-59,1,1,1
f7,5,0,1,-63,-31,3,3,3
f5,2,1,0,-60,-64,1,1,1
f6,7,1,0,-23,105,3,3,3
c3,5,0,1,-43,-11,4,4,4
c3,0,1,0,13,12,7,7,7
f7,7,1,0,-53,75,2,2,2
c3,1,1,0,-33,-35,7,7,7
f7,5,0,1,6,38,1,1,1
f6,1,1,0,26,24,2,2,2
f5,1,1,0,-21,-23,1,1,1
c3,2,1,0,-50,-54,1,1,1
f5,6,0,1,30,94,7,7,7
c3,4,1,0,-13,-29,4,4,4
f7,0,1,0,-25,-26,2,2,2
f6,5,0,1,1,33,3,3,3
c1,7,0,1,36,-92,5,5,5
c3,7,1,0,-59,69,1,1,1
f5,6,1,0,-45,-109,2,2,2
c3,1,1,0,-26,-28,4,4,4
c3,7,1,0,-58,70,4,4,4
c1,5,1,0,36,4,6,6,6
c1,1,0,1,-128,-126,3,3,3
c3,0,1,0,-15,-16,5,5,5
c1,7,0,1,37,-91,5,5,5
f7,5,1,0,-13,-45,6,6,6
c3,0,0,1,-2,-1,0,0,0
c3,0,0,1,26,27,4,4,4
f6,6,0,1,-83,-19,1,1,1
f5,1,0,1,-3,-1,9,9,9
f5,1,1,0,-18,-20,5,5,5
f6,4,0,1,-17,-1,7,7,7
f5,7,1,0,-30,98,8,8,8
c1,7,0,1,13,-115,9,9,9
c3,2,0,1,-7,-3,3,3,3
c1,1,1,0,-49,-51,7,7,7
c3,7,0,1,29,-99,4,4,4
c1,2,0,1,-47,-43,6,6,6
f5,4,1,0,-76,-92,4,4,4
c3,7,0,1,0,-128,3,3,3
c3,4,1,0,-67,-83,0,0,0
c1,3,1,0,-102,-110,7,7,7
c3,6,0,1,14,78,0,0,0
c3,1,1,0,-22,-24,2,2,2
f6,3,0,1,4,12,9,9,9
c1,0,1,0,-127,-128,1,1,1
f5,1,0,1,-48,-46,7,7,7
f6,6,0,1,25,89,3,3,3
f7,6,1,0,-19,-83,2,2,2
c1,4,0,1,-28,-12,9,9,9
c1,2,0,1,-128,-124,7,7,7
c1,6,0,1,38,102,7,7,7
f6,7,1,0,-17,111,6,6,6
f7,3,0,1,17,25,2,2,2
f7,2,1,0,-1,-5,7,7,7
f6,3,0,1,-63,-55,8,8,8
c1,4,0,1,-128,-112,4,4,4
c1,1,0,1,-111,-109,7,7,7
c3,1,0,1,-23,-21,3,3,3
f7,3,1,0,-17,-25,6,6,6
f7,3,1,0,41,33,1,1,1
f7,7,0,1,1,-127,3,3,3
c1,3,0,1,51,59,6,6,6
f5,7,0,1,8,-120,4,4,9
c1,1,1,0,-70,-72,3,3,3
f7,5,1,0,-11,-43,1,1,1
f6,7,1,0,-12,116,4,4,4
c1,4,0,1,-24,-8,1,1,1
f5,2,0,1,-46,-42,7,7,7
f6,4,0,1,10,26,6,6,6
f6,1,0,1,29,31,9,9,9
c3,2,0,1,-38,-34,6,6,6
f5,3,1,0,-86,-94,0,0,0
f5,7,1,0,-108,20,5,5,5
c3,5,0,1,-50,-18,4,4,4
f5,4,0,1,-49,-33,9,9,9
f7,3,0,1,17,25,9,9,9
f5,3,1,0,-50,-58,2,2,2
c3,5,1,0,63,31,1,1,1
f5,6,1,0,-15,-79,9,9,9
f6,5,0,1,-50,-18,4,4,4
f6,2,0,1,1,5,8,8,8
f7,2,0,1,3,7,7,7,7
f5,6,1,0,-15,-79,3,3,3
c3,4,1,0,-12,-28,9,9,9
f5,6,1,0,-47,-111,7,7,7
f6,5,0,1,23,55,4,4,4
f6,0,0,1,-56,-55,4,4,4
f5,5,0,1,-55,-23,4,4,4
f5,4,1,0,-4,-20,9,9,9
c3,5,0,1,-47,-15,2,2,2
c1,7,1,0,-28,100,5,5,5
f6,7,0,1,31,-97,4,4,4
f6,1,1,0,-1,-3,7,7,7
f5,1,0,1,29,31,6,6,6
c3,3,0,1,-15,-7,7,7,7
c3,5,1,0,-5,-37,9,9,9
f6,5,1,0,-10,-42,0,0,0
f6,4,0,1,77,93,5,5,5
f7,0,0,1,-26,-25,8,8,8
f6,2,0,1,34,38,5,5,5
f7,3,1,0,-5,-13,6,6,6
f5,5,0,1,3,35,6,6,6
c3,1,0,1,-92,-90,5,5,5
f7,2,1,0,47,43,7,7,7
c3,7,0,1,20,-108,8,8,8
f5,0,0,1,-44,-43,1,1,1
c3,5,0,1,13,45,0,0,0
f6,1,0,1,-44,-42,1,1,1
f5,3,1,0,-5,-13,6,6,6
f6,6,1,0,-1,-65,4,4,4
c1,0,1,0,3,2,6,6,6
f7,2,1,0,7,3,7,7,7
f5,6,1,0,-26,-90,3,3,3
c3,3,0,1,-128,-120,1,1,1
c3,4,0,1,64,80,7,7,7
f6,4,0,1,-21,-5,1,1,1
c3,2,1,0,-10,-14,8,8,8
f5,4,0,1,33,49,2,2,2
f6,0,1,0,55,54,0,0,0
f5,5,1,0,-31,-63,3,3,2
f6,3,1,0,29,21,9,9,9
f5,5,0,1,6,38,4,4,9
f7,6,0,1,3,67,5,5,5
c1,5,1,0,-9,-41,5,5,5
c1,5,0,1,85,117,1,1,1
f6,1,0,1,-43,-41,5,5,5
f7,6,1,0,-30,-94,6,6,6
c1,6,0,1,-82,-18,0,0,0
c1,3,0,1,32,40,2,2,3
f6,5,0,1,1,33,4,4,4
c1,6,1,0,-49,-113,4,4,4
c3,2,1,0,-35,-39,6,6,6
f7,4,0,1,-31,-15,5,5,5
c3,1,1,0,-29,-31,4,4,4
c1,6,0,1,40,104,6,6,6
f7,2,0,1,19,23,5,5,5
c3,3,1,0,-84,-92,4,4,4
