layer,bit_position,original_bit,flipped_bit,original_param,flipped_param,original_output,flipped_output,target_output
c1,5,1,0,34,2,7,7,7
c1,5,1,0,-11,-43,1,2,2
c1,5,1,0,-1,-33,1,1,1
c1,5,1,0,-5,-37,0,0,0
c1,5,1,0,-96,-128,4,4,4
c1,5,0,1,-101,-69,1,1,1
c1,5,0,1,0,32,4,4,4
c1,5,1,0,-23,-55,9,9,9
c1,5,0,1,-51,-19,5,5,5
c1,5,1,0,-82,-114,9,9,9
c1,5,0,1,23,55,0,0,0
c1,5,0,1,-44,-12,6,6,6
c1,5,0,1,15,47,9,9,9
c1,5,0,1,-63,-31,0,0,0
c1,5,1,0,-18,-50,1,1,1
c1,5,1,0,36,4,5,5,5
c1,5,0,1,-33,-1,9,9,9
c1,5,1,0,-21,-53,7,7,7
c1,5,1,0,-77,-109,3,3,3
c1,5,0,1,19,51,4,4,4
c1,5,0,1,10,42,7,7,9
c1,5,1,0,-21,-53,6,6,6
c1,5,0,1,30,62,6,6,6
c1,5,0,1,30,62,5,5,5
c1,5,0,1,6,38,4,4,4
c1,5,0,1,-102,-70,0,0,0
c1,5,1,0,-79,-111,7,7,7
c1,5,1,0,36,4,4,4,4
c1,5,0,1,19,51,0,0,0
c1,5,0,1,12,44,1,1,1
c1,5,1,0,-79,-111,3,3,3
c1,5,0,1,7,39,1,1,1
c1,5,0,1,-128,-96,3,3,3
c1,5,0,1,-102,-70,4,4,4
c1,5,0,1,19,51,7,7,7
c1,5,0,1,23,55,2,2,2
c1,5,1,0,-21,-53,7,7,7
c1,5,1,0,-15,-47,1,1,1
c1,5,1,0,-72,-104,2,2,2
c1,5,0,1,-46,-14,1,1,1
c1,5,1,0,-15,-47,1,1,1
c1,5,1,0,-5,-37,7,7,7
c1,5,0,1,30,62,4,4,4
c1,5,0,1,-46,-14,2,2,2
c1,5,1,0,-21,-53,3,3,3
c1,5,0,1,-47,-15,5,5,5
c1,5,0,1,-41,-9,1,1,1
c1,5,1,0,45,13,2,2,2
c1,5,0,1,-33,-1,4,4,4
c1,5,0,1,9,41,4,4,4
c1,5,1,0,-18,-50,6,6,6
c1,5,1,0,-4,-36,3,3,3
c1,5,0,1,30,62,5,5,5
c1,5,0,1,26,58,5,5,5
c1,5,0,1,25,57,6,6,6
c1,5,1,0,-1,-33,0,0,0
c1,5,0,1,19,51,4,4,4
c1,5,0,1,-42,-10,1,1,1
c1,5,1,0,-4,-36,9,9,9
c1,5,1,0,-5,-37,5,5,5
c1,5,1,0,-65,-97,7,7,7
c1,5,1,0,-72,-104,8,8,8
c1,5,1,0,-7,-39,9,9,9
c1,5,0,1,10,42,3,3,3
c1,5,1,0,-8,-40,7,7,7
c1,5,0,1,10,42,4,4,4
c1,5,1,0,-16,-48,6,6,6
c1,5,1,0,-5,-37,4,4,4
c1,5,0,1,-44,-12,3,3,3
c1,5,0,1,26,58,0,0,0
c1,5,1,0,39,7,7,7,7
c1,5,0,1,30,62,0,0,0
c1,5,1,0,-29,-61,2,2,2
c1,5,0,1,11,43,9,9,9
c1,5,1,0,-5,-37,1,1,1
c1,5,1,0,38,6,7,7,7
c1,5,0,1,-44,-12,3,3,3
c1,5,1,0,-22,-54,2,2,2
c1,5,1,0,45,13,9,9,9
c1,5,1,0,45,13,7,7,7
c1,5,1,0,-82,-114,7,7,7
c1,5,1,0,127,95,6,6,6
c1,5,0,1,21,53,2,2,2
c1,5,0,1,9,41,7,7,7
c1,5,0,1,15,47,8,8,8
c1,5,1,0,-5,-37,4,4,4
c1,5,0,1,19,51,7,7,7
c1,5,1,0,-29,-61,3,3,3
c1,5,0,1,23,55,6,6,6
c1,5,0,1,10,42,1,1,1
c1,5,1,0,-7,-39,3,3,3
c1,5,0,1,25,57,6,6,6
c1,5,1,0,-96,-128,4,4,9
c1,5,1,0,-1,-33,3,3,3
c1,5,0,1,64,96,1,1,1
c1,5,1,0,-22,-54,4,4,4
c1,5,0,1,7,39,1,1,1
c1,5,1,0,-6,-38,7,7,7
c1,5,0,1,14,46,6,6,6
c1,5,0,1,65,97,9,9,9
c1,5,0,1,-102,-70,6,6,6
c1,5,0,1,-37,-5,0,0,0
c1,5,0,1,65,97,5,5,5
c1,5,0,1,-44,-12,4,4,4
c1,5,1,0,36,4,9,9,9
c1,5,1,0,-18,-50,9,9,9
c1,5,1,0,36,4,2,2,2
c1,5,0,1,-128,-96,1,1,1
c1,5,1,0,-21,-53,9,9,9
c1,5,0,1,30,62,4,4,4
c1,5,1,0,60,28,8,8,8
c1,5,0,1,30,62,7,7,7
c1,5,0,1,30,62,3,3,3
c1,5,1,0,36,4,9,9,9
c1,5,0,1,21,53,7,7,7
c1,5,0,1,22,54,4,4,4
c1,5,0,1,-44,-12,4,4,4
c1,5,0,1,-44,-12,4,4,4
c1,5,1,0,-26,-58,9,9,9
c1,5,0,1,27,59,2,2,2
c1,5,1,0,-1,-33,5,5,5
c1,5,0,1,-51,-19,4,4,4
c1,5,0,1,23,55,7,7,7
c1,5,0,1,-64,-32,6,6,6
c1,5,0,1,-102,-70,7,7,7
c1,5,1,0,-11,-43,4,9,9
c1,5,0,1,26,58,0,0,0
c1,5,0,1,80,112,5,5,5
c1,5,0,1,15,47,8,8,8
c1,5,0,1,-102,-70,5,5,5
c1,5,0,1,-37,-5,6,6,6
c1,5,0,1,17,49,6,6,6
c1,5,1,0,-5,-37,5,5,5
c1,5,1,0,-5,-37,7,7,7
c1,5,1,0,40,8,8,8,8
c1,5,0,1,-55,-23,1,1,1
c1,5,0,1,-39,-7,0,0,0
c1,5,0,1,18,50,1,1,1
c1,5,1,0,45,13,6,6,6
c1,5,1,0,-30,-62,4,4,4
c1,5,1,0,35,3,6,6,6
c1,5,0,1,-53,-21,7,7,7
c1,5,1,0,39,7,3,3,3
c1,5,1,0,36,4,1,1,1
c1,5,0,1,-34,-2,7,7,7
c1,5,1,0,40,8,1,1,1
c1,5,1,0,32,0,8,8,8
c1,5,0,1,23,55,2,2,2
c1,5,1,0,46,14,0,0,0
c1,5,1,0,-80,-112,8,8,2
c1,5,1,0,-11,-43,9,9,9
c1,5,0,1,-50,-18,9,9,9
c1,5,1,0,-10,-42,5,5,5
c1,5,0,1,19,51,5,5,5
c1,5,1,0,-5,-37,1,1,1
c1,5,1,0,-16,-48,5,5,5
c1,5,0,1,-127,-95,6,6,6
c1,5,1,0,-30,-62,0,0,0
c1,5,0,1,30,62,3,3,3
c1,5,1,0,-4,-36,4,4,4
c1,5,1,0,-7,-39,4,4,4
c1,5,0,1,-127,-95,6,6,6
c1,5,1,0,-67,-99,5,5,5
c1,5,0,1,-37,-5,4,4,4
c1,5,0,1,26,58,6,6,6
c1,5,0,1,24,56,5,5,5
c1,5,1,0,-4,-36,4,4,4
c1,5,1,0,-29,-61,5,5,5
c1,5,0,1,-63,-31,1,1,1
c1,5,0,1,21,53,4,4,4
c1,5,1,0,-6,-38,4,4,4
c1,5,0,1,10,42,7,7,7
c1,5,0,1,-37,-5,2,2,2
c1,5,0,1,-64,-32,3,3,3
c1,5,1,0,-15,-47,2,2,2
c1,5,1,0,-7,-39,7,7,7
c1,5,0,1,-128,-96,1,1,1
c1,5,0,1,30,62,8,8,8
c1,5,0,1,65,97,1,1,1
c1,5,1,0,35,3,8,8,8
c1,5,0,1,-64,-32,1,1,1
c1,5,1,0,35,3,8,8,8
c1,5,1,0,-67,-99,5,5,5
c1,5,1,0,-80,-112,0,0,0
c1,5,0,1,30,62,8,8,8
c1,5,0,1,-47,-15,4,4,9
c1,5,0,1,-42,-10,2,2,2
c1,5,0,1,-113,-81,5,5,5
c1,5,1,0,-23,-55,0,0,0
c1,5,1,0,-15,-47,1,1,1
c1,5,1,0,-5,-37,1,1,1
c1,5,0,1,81,113,1,1,1
c1,5,1,0,32,0,0,0,0
c1,5,1,0,-67,-99,8,9,9
c1,5,0,1,14,46,0,0,0
c1,5,1,0,-7,-39,3,3,3
c1,5,1,0,-30,-62,1,1,1
c1,5,1,0,-16,-48,6,6,6
c1,5,1,0,-9,-41,4,4,4
c1,5,0,1,-42,-10,2,2,2
c1,5,0,1,-128,-96,3,3,3
c1,5,0,1,-50,-18,6,6,6
c1,5,0,1,19,51,1,1,1
c1,5,1,0,-12,-44,1,1,1
c1,5,0,1,-128,-96,1,1,1
c1,5,0,1,-101,-69,3,3,3
c1,5,0,1,18,50,9,9,9
c1,5,0,1,22,54,5,5,5
c1,5,1,0,55,23,2,2,2
c1,5,0,1,9,41,9,9,9
c1,5,1,0,-12,-44,4,4,4
c1,5,1,0,32,0,5,5,5
c1,5,0,1,-44,-12,9,9,9
c1,5,0,1,65,97,3,3,3
c1,5,0,1,-50,-18,9,9,9
c1,5,1,0,-11,-43,0,0,0
c1,5,1,0,39,7,3,3,3
c1,5,1,0,-80,-112,5,5,6
c1,5,0,1,-128,-96,5,5,5
c1,5,1,0,-5,-37,5,5,5
c1,5,1,0,38,6,7,7,7
c1,5,0,1,-47,-15,3,3,2
c1,5,0,1,30,62,2,2,2
c1,5,1,0,-96,-128,7,7,7
c1,5,1,0,35,3,1,1,1
c1,5,0,1,-46,-14,2,2,2
c1,5,0,1,10,42,8,8,8
c1,5,0,1,30,62,4,4,4
c1,5,0,1,19,51,1,1,1
c1,5,1,0,-30,-62,7,7,7
c1,5,1,0,-20,-52,3,3,3
c1,5,1,0,-82,-114,3,3,3
c1,5,0,1,11,43,8,8,8
c1,5,1,0,-16,-48,8,8,8
c1,5,0,1,-101,-69,7,7,7
c1,5,0,1,6,38,9,9,9
c1,5,0,1,23,55,2,2,2
c1,5,1,0,127,95,2,2,2
c1,5,1,0,36,4,4,4,4
c1,5,1,0,35,3,1,1,1
c1,5,1,0,61,29,5,5,5
c1,5,1,0,39,7,9,9,9
c1,5,0,1,-113,-81,8,8,8
c1,5,1,0,-29,-61,7,7,7
c1,5,0,1,-127,-95,2,2,2
c1,5,1,0,-6,-38,3,3,3
c1,5,1,0,-82,-114,0,0,0
c1,5,0,1,-127,-95,2,6,4
c1,5,1,0,-12,-44,4,4,4
c1,5,1,0,-29,-61,2,2,2
c1,5,1,0,46,14,4,4,4
c1,5,0,1,-44,-12,1,1,1
c1,5,1,0,40,8,9,9,9
c1,5,1,0,-21,-53,5,5,5
c1,5,0,1,-44,-12,7,7,7
c1,5,1,0,-20,-52,7,7,7
c1,5,0,1,-51,-19,2,2,2
c1,5,1,0,-18,-50,8,8,8
c1,5,1,0,34,2,2,2,2
c1,5,1,0,60,28,0,0,6
c1,5,1,0,105,73,8,8,8
c1,5,0,1,-128,-96,5,5,5
c1,5,1,0,-5,-37,7,7,7
c1,5,1,0,-11,-43,7,7,7
c1,5,1,0,34,2,9,9,9
c1,5,0,1,0,32,1,1,1
c1,5,1,0,38,6,0,0,8
c1,5,1,0,36,4,1,1,1
c1,5,1,0,45,13,8,8,8
c1,5,1,0,-7,-39,0,0,0
c1,5,0,1,-48,-16,3,3,3
c1,5,0,1,27,59,0,0,0
c1,5,0,1,-44,-12,1,1,1
