layer,bit_position,samples,errors,error_ratio
c1,0,2505,4,0.1597%
c1,1,2617,7,0.2675%
c1,2,2578,5,0.1939%
c1,3,2505,12,0.479%
c1,4,2452,8,0.3263%
c1,5,2499,13,0.5202%
c1,6,2475,17,0.6869%
c1,7,2505,21,0.8383%
c3,0,2540,0,0.0%
c3,1,2495,0,0.0%
c3,2,2528,0,0.0%
c3,3,2435,1,0.0411%
c3,4,2496,0,0.0%
c3,5,2451,1,0.0408%
c3,6,2504,1,0.0399%
c3,7,2490,5,0.2008%
f5,0,2462,0,0.0%
f5,1,2457,0,0.0%
f5,2,2400,0,0.0%
f5,3,2534,0,0.0%
f5,4,2555,0,0.0%
f5,5,2529,0,0.0%
f5,6,2525,0,0.0%
f5,7,2465,1,0.0406%
f6,0,2420,0,0.0%
f6,1,2563,0,0.0%
f6,2,2550,0,0.0%
f6,3,2498,0,0.0%
f6,4,2471,0,0.0%
f6,5,2636,0,0.0%
f6,6,2506,0,0.0%
f6,7,2529,0,0.0%
f7,0,2483,0,0.0%
f7,1,2454,0,0.0%
f7,2,2566,0,0.0%
f7,3,2403,0,0.0%
f7,4,2518,0,0.0%
f7,5,2502,2,0.0799%
f7,6,2425,2,0.0825%
f7,7,2474,21,0.8488%
